Player,School,POS,REC,YDS,AVG,LNG,TD
Tre Watson,FRES,TE,29,293,10.1,28,4
Preston Fox,WVU,WR,20,293,14.6,34,2
Bugs Mortimer,ULM,WR,15,291,19.4,54,0
Isiah Paige,ODU,WR,30,291,9.7,26,1
Grayson Barnes,NIU,WR,16,291,18.2,58,3
Brionne Penny,SDSU,WR,24,290,12.1,36,1
Stephen Gosnell,VT,WR,20,290,14.5,39,1
Jordan Whittington,TEX,WR,27,290,10.7,31,0
Dylan Goffney,CSU,WR,21,289,13.8,42,2
Arlis Boardingham,FLA,TE,26,289,11.1,25,4
Tre Mosley,MSU,WR,28,288,10.3,30,2
Gary Bryant Jr.,ORE,WR,22,288,13.1,31,2
Dominick Mazotti,SJSU,TE,20,287,14.4,44,1
Caleb Coombs,MRSH,WR,33,287,8.7,24,2
Jonathon Brooks,TEX,RB,25,286,11.4,73,1
Rico Flores Jr.,ND,WR,18,285,15.8,60,1
Cam Camper,IU,WR,17,285,16.8,41,1
Jahdae Walker,TA&M,WR,19,285,15.0,37,2
A.J. Henning,NU,WR,32,284,8.9,41,3
Luke Floriea,KENT,WR,27,284,10.5,43,3
Leroy Thomas,WMU,WR,27,284,10.5,41,2
Marquis Shoulders,TLSA,WR,16,283,17.7,80,5
Ahmad Edwards,BALL,WR,25,282,11.3,57,1
Chimere Dike,WIS,WR,16,282,17.6,41,1
Kobe Paysour,UNC,WR,22,282,12.8,77,3
Jonah Coleman,ARIZ,RB,23,282,12.3,69,1
Kobe Prentice,ALA,WR,16,282,17.6,79,2
DJ Giddens,KSU,RB,26,282,10.8,61,2
Cade McDonald,M-OH,WR,21,281,13.4,42,2
Skyler Bell,WIS,WR,36,280,7.8,30,1
Cameron Skattebo,ASU,RB,23,280,12.2,66,1
Carl Chester,TLSA,WR,14,280,20.0,57,0
Isaac TeSlaa,ARK,WR,28,280,10.0,36,2
Leon Johnson III,OKST,WR,16,280,17.5,67,0
Hamze El-Zayat,EMU,WR,19,278,14.6,50,2
Eli Stowers,NMSU,QB,25,278,11.1,32,1
Anthony Sambucci,WMU,WR,17,278,16.4,64,5
Jsi Hatfield,ECU,WR,23,278,12.1,39,0
Trey Knox,SC,TE,32,277,8.7,20,2
Alex Perry,HAW,WR,24,277,11.5,38,3
Spencer Curtis,NEV,WR,22,276,12.5,73,1
Cole Harrity,BUFF,WR,33,276,8.4,29,3
Dorian Singer,USC,WR,23,276,12.0,44,3
Duce Robinson,USC,WR,11,275,25.0,71,1
Boden Groen,RICE,TE,28,274,9.8,31,1
Dalvin Smith,WKU,WR,30,273,9.1,42,2
Roderick Daniels Jr.,SMU,WR,16,272,17.0,91,4
Traeshon Holden,ORE,WR,27,271,10.0,60,4
Benjamin Brahmer,ISU,TE,21,271,12.9,48,2
Phoenix Sproles,JMU,WR,33,270,8.2,32,3
Boobie Curry,BUFF,WR,26,270,10.4,48,1
Je'Quan Burton,FAU,WR,23,269,11.7,39,2
Billy Bowens,BOIS,WR,19,269,14.2,52,1
Dominick Blaylock,GT,WR,19,269,14.2,34,1
Tanner Koziol,BALL,TE,32,269,8.4,26,3
Treyton Welch,WYO,TE,25,268,10.7,32,2
Omar Cooper Jr.,IU,WR,18,267,14.8,35,2
Eli Heidenreich,NAVY,RB,12,267,22.3,69,4
Isaiah Alston,ARMY,WR,9,266,29.6,70,2
Ayir Asante,WYO,WR,14,265,18.9,66,5
Odieu Hiliare,BGSU,WR,25,264,10.6,32,2
Money Parks,UTAH,WR,25,261,10.4,70,2
DJ England-Chisolm,MTSU,WR,20,261,13.1,72,3
Jaron Glover,MSU,WR,14,261,18.6,33,0
Jack Westover,WASH,TE,28,260,9.3,28,4
Moochie Dixon,SMU,WR,16,260,16.3,52,2
Charles Ross,SJSU,WR,19,260,13.7,35,1
Dae'Quan Wright,VT,TE,21,260,12.4,33,0
Zachariah Branch,USC,WR,24,260,10.8,36,2
Dylan Edwards,COLO,RB,32,260,8.1,75,3
Ray Davis,UK,RB,24,259,10.8,58,5
Ahmari Huggins-Bruce,LOU,WR,15,259,17.3,55,3
Milan Tucker,APP,WR,18,258,14.3,69,1
Daejon Reynolds,PITT,WR,23,258,11.2,31,0
Austin Hence,WMU,TE,23,258,11.2,32,3
Theo Johnson,PSU,TE,26,256,9.8,34,5
Amari Niblack,ALA,TE,14,256,18.3,39,4
Harvey Broussard,UL,WR,20,256,12.8,51,2
Jamaal Bell,NEV,WR,30,255,8.5,77,1
Carnell Tate,OSU,WR,16,254,15.9,55,1
Luke Hasz,ARK,TE,16,253,15.8,59,3
Noah Short,ARMY,WR,18,252,14.0,80,2
Jayden Thomas,ND,WR,17,251,14.8,39,1
O'Mega Blake,SC,WR,19,250,13.2,41,2
Montana Lemonious-Craig,ARIZ,WR,25,250,10.0,39,2
Quali Conley,SJSU,RB,20,250,12.5,61,0
Anthony Queeley,GASO,WR,26,249,9.6,18,3
Koali Nishigaya,HAW,WR,31,248,8.0,29,1
Kyle Morlock,FSU,TE,18,247,13.7,63,0
Warren Thompson,TCU,WR,19,246,12.9,33,2
Billy Kemp IV,NEB,WR,23,246,10.7,34,1
Brashard Smith,MIA,WR,19,246,12.9,54,2
Roman Hemby,MD,RB,29,246,8.5,37,2
Michael Harrison,COLO,TE,29,246,8.5,21,5
Ollie Gordon II,OKST,RB,24,246,10.3,50,1
Tru Edwards,LT,WR,20,246,12.3,36,2
Neal Johnson,UL,TE,23,245,10.7,32,2
Lake McRee,USC,TE,24,245,10.2,31,1
Jadon Jackson,KSU,WR,17,244,14.4,40,2
Senika McKie,UNLV,WR,18,244,13.6,28,0
Cooper Mathers,WSU,TE,19,243,12.8,39,1
Key'Shawn Smith,SMU,WR,16,242,15.1,43,2
Coy Eakin,TTU,WR,21,242,11.5,43,1
Jalen Bracey,FIU,WR,23,242,10.5,45,1
Stefan Cobbs,BOIS,WR,23,241,10.5,40,1
Tyler Warren,PSU,TE,25,241,9.6,21,6
Junior Sherrill,VAN,WR,16,241,15.1,52,2
Larry Stephens,TOL,WR,19,240,12.6,28,2
Benjamin Yurosek,STAN,TE,16,239,14.9,32,1
Marion Lukes,CMU,RB,24,239,10.0,23,0
Austin Osborne,BGSU,WR,22,238,10.8,42,0
Anthony Landphere,MEM,TE,25,238,9.5,21,2
Jayden Harrison,MRSH,WR,19,238,12.5,35,1
Xavier Townsend,UCF,WR,22,236,10.7,37,2
Joseph Scates,MEM,WR,21,235,11.2,47,4
Ryan O'Keefe,BC,WR,23,235,10.2,38,1
Daniel Jackson,ISU,WR,14,235,16.8,39,2
Omarion Miller,COLO,WR,10,235,23.5,65,1
Jaylin Lucas,IU,RB,33,235,7.1,44,2
Nick Cenacle,HAW,WR,21,235,11.2,52,1
Kevin Coleman,LOU,WR,19,234,12.3,40,1
Fred Farrier II,UAB,WR,17,234,13.8,67,0
Oscar Delp,UGA,TE,19,233,12.3,41,3
Landon Sides,UNT,WR,22,232,10.5,39,1
Zach Horton,JMU,TE,19,231,12.2,66,5
Chris Bellamy,NMSU,WR,15,230,15.3,52,1
Troy Stellato,CLEM,WR,28,229,8.2,18,1
River Helms,WKU,TE,15,229,15.3,63,3
Mikey Matthews,UTAH,WR,25,229,9.2,40,0
Dino Tomlin,BC,WR,19,228,12.0,52,0
Thomas Fidone II,NEB,TE,20,228,11.4,29,4
Bryce Damous,UAB,TE,22,228,10.4,42,3
Baylin Brooks,SDSU,WR,13,227,17.5,37,1
Brevyn Spann-Ford,MINN,TE,23,226,9.8,31,2
Darryle Simmons,MRSH,WR,22,226,10.3,31,0
Ahmarean Brown,SC,WR,21,226,10.8,44,1
Joshua Simon,SC,TE,25,226,9.0,33,2
Moliki Matavao,UCLA,TE,9,226,25.1,35,2
Quinton Lane,JVST,WR,21,226,10.8,30,1
Xavier Guillory,ASU,WR,21,226,10.8,47,1
Mason Taylor,LSU,TE,24,226,9.4,22,1
Donovan Edwards,MICH,RB,24,225,9.4,37,0
Ja'Varrius Johnson,AUB,WR,13,225,17.3,45,2
Malikhi Miller,SJSU,WR,18,224,12.4,25,1
Dont'e Thornton Jr.,TENN,WR,13,224,17.2,47,1
Montrell Johnson Jr.,FLA,RB,29,224,7.7,19,1
Tobias Merriweather,ND,WR,11,224,20.4,75,1
Oscar Cardenas,UTSA,TE,24,222,9.3,28,1
Hal Presley,BAY,WR,17,222,13.1,47,0
Noah Frith,LIB,WR,11,221,20.1,55,2
Christian Fitzpatrick,MSU,WR,14,221,15.8,72,1
Chamon Metayer,CIN,TE,20,221,11.1,35,3
T.J. Jones,UAB,WR,13,221,17.0,72,2
