Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Sidney Houston Jr.,BALL,LB,34,21,55,8.0,0,1,0,0,0,1
Carl Glass Jr.,ULM,LB,23,32,55,1.5,8,0,0,0,0,2
Isaiah Johnson,SYR,DB,34,20,54,0.0,1,5,1,6,0,1
Don Chapman,UNC,DB,37,17,54,1.0,0,1,2,7,0,0
Kempton Shine,EMU,DB,29,25,54,0.0,0,8,0,0,0,0
Kam Arnold,BC,LB,25,29,54,0.0,0,3,0,0,0,1
Daquan Evans,USF,DB,40,14,54,3.0,0,7,0,0,0,0
Tysheem Johnson,ORE,DB,28,26,54,1.0,-1,4,2,0,0,0
Barrett Carter,CLEM,LB,34,20,54,2.0,0,2,0,0,0,0
Julien Simon,TLSA,LB,22,32,54,1.5,167,2,0,0,0,0
Juan Powell,CCU,CB,31,23,54,0.0,16,6,0,0,0,1
Ken Robinson,UTSA,DB,33,21,54,0.0,1,3,0,0,0,0
Rich Miller,KU,LB,39,15,54,2.0,0,1,0,0,0,0
Corey Ellington,MSST,S,27,27,54,1.0,4,2,0,0,0,1
Adin Huntington,ULM,DL,20,34,54,6.5,11,1,0,0,0,1
Jakob Robinson,BYU,CB,35,19,54,0.0,0,7,4,42,1,0
Shaquan Loyal,RUTG,DB,34,20,54,1.0,0,2,1,37,0,1
Bailey Despanie,TULN,S,37,17,54,0.0,0,2,0,0,0,0
Jayden Johnson,ARK,DB,26,28,54,0.0,6,3,1,0,0,1
Mike Edwards III,ECU,LB,34,20,54,1.0,0,0,0,0,0,0
Drue Watts,NEV,LB,28,26,54,0.5,0,3,0,0,0,0
Karene Reid,UTAH,LB,21,33,54,0.0,0,4,1,21,1,0
Ike Rowell,UAB,S,35,19,54,0.0,8,3,0,0,0,2
Car'lin Vigers,ULM,CB,25,29,54,0.0,0,3,0,0,0,1
Calvin Hart Jr.,ORST,LB,23,30,53,3.5,29,0,0,0,0,1
Owen Porter,MRSH,DL,24,29,53,5.0,0,2,0,0,0,2
Demani Richardson,TA&M,DB,40,13,53,1.0,3,3,0,0,0,1
Mohamed Kamara,CSU,DL,27,26,53,12.5,97,1,0,0,0,2
Mark Perry,TCU,S,42,11,53,0.0,1,4,0,0,0,1
Martavius French,UTSA,LB,29,24,53,1.0,50,3,0,0,0,0
Marshawn Kneeland,WMU,DL,28,25,53,4.5,5,0,0,0,0,2
Tyler Grubbs,TULN,LB,34,19,53,3.0,45,0,0,0,0,0
