Player,School,POS,ATT,YDS,AVG,LNG,TD
Tahj Bullock,AKR,QB,62,165,2.7,27,4
Grant Wilson,ODU,QB,122,165,1.4,32,2
Anthony Adkins,UCLA,RB,26,164,6.3,38,1
Xavier Townsend,UCF,WR,15,163,10.9,39,0
Treyaun Webb,FLA,RB,26,163,6.3,43,2
Tybo Rogers,WASH,RB,38,163,4.3,22,0
Brandon Thomas,MEM,RB,39,162,4.2,42,9
Ay'Jaun Marshall,ARMY,WR,15,162,10.8,36,1
Devontae Houston,CONN,RB,34,161,4.7,27,0
Braylon McReynolds,USA,RB,33,161,4.9,35,0
Jakobi Buchanan,ARMY,RB,47,160,3.4,11,3
Brendan Sullivan,NU,QB,75,160,2.1,35,2
Aiden Calvert,AFA,RB,21,160,7.6,22,0
Elijah Davis,UL,RB,27,160,5.9,20,3
Bo Nix,ORE,QB,47,159,3.4,16,6
Jamari Ferrell,WYO,RB,45,159,3.5,17,1
Miyan Williams,OSU,RB,49,158,3.2,12,3
Dillon Bell,UGA,WR,25,157,6.3,29,2
Makhilyn Young,NMSU,RB,21,157,7.5,31,2
Lucky Sutton,SDSU,RB,30,157,5.2,62,2
Kelley Joiner,USF,RB,39,156,4.0,18,1
Caziah Holmes,FSU,RB,21,156,7.4,40,2
Josh McCray,ILL,RB,43,156,3.6,14,2
Sherod White,UNM,RB,37,155,4.2,12,1
Xavier Johnson,OSU,WR,23,155,6.7,27,0
Rayshon Luke,ARIZ,RB,37,153,4.1,40,1
Brandon Chatman,NAVY,RB,41,153,3.7,20,0
Keegan Jones,UCLA,WR,14,152,10.9,38,2
Jaylen Coleman,DUKE,RB,37,152,4.1,15,0
Cedric Hawkins,ARST,RB,30,151,5.0,28,2
Noah Cain,LSU,RB,31,150,4.8,20,3
Justin Johnson Jr.,WVU,RB,38,150,3.9,30,1
Dylan Paine,WSU,RB,25,150,6.0,52,1
Kaleb Jackson,LSU,RB,29,150,5.2,21,3
Tyler Shough,TTU,QB,48,149,3.1,58,2
Keldric Moody,LT,RB,34,149,4.4,24,0
Noah Whittington,ORE,RB,20,146,7.3,41,2
Terry Wilkins,MTSU,RB,18,146,8.1,75,1
Djouvensky Schlenbaker,WSU,RB,33,146,4.4,20,0
Trey Potts,PSU,RB,23,145,6.3,28,2
Gi'Bran Payne,ND,RB,39,144,3.7,12,2
Joachim Bangda,CLT,RB,42,143,3.4,31,4
Elijah Collins,OKST,RB,30,142,4.7,26,2
Shaadie Clayton-Johnson,TULN,RB,34,142,4.2,17,0
Jahmyl Jeter,TXST,RB,34,140,4.1,22,6
Brett Gabbert,M-OH,QB,49,140,2.9,26,2
Michael Johnson Jr.,FAU,QB,23,140,6.1,27,7
Jovantae Barnes,OU,RB,37,140,3.8,17,1
Demie Sumo-Karngbaye,UK,RB,20,139,6.9,42,1
Vaughn Pemberton,BALL,RB,23,139,6.0,45,1
L.T. Sanders,WKU,RB,30,139,4.6,56,0
JuTahn McClain,UK,RB,26,138,5.3,36,1
Tyler Lavine,SMU,RB,32,138,4.3,19,7
David Cordero,HAW,RB,32,138,4.3,36,0
Xavier Williams,KENT,RB,42,137,3.3,18,1
Velton Gardner,SMU,RB,32,137,4.3,23,1
Jordan Brunson,M-OH,RB,12,137,11.4,57,1
Justice Haynes,ALA,RB,21,137,6.5,33,2
Caleb Williams,USC,QB,97,136,1.4,46,11
Daniel Carter,PITT,RB,28,134,4.8,22,2
Austin Smith,EMU,QB,101,134,1.3,41,2
Arnold Barnes III,TULN,RB,22,133,6.0,65,0
Drake Anderson,AKR,RB,40,132,3.3,15,1
Quincy Patterson,TEM,QB,41,132,3.2,24,4
Brashard Smith,MIA,WR,9,132,14.7,80,1
Joshua Fleeks,NEB,WR,17,130,7.6,74,1
Cash Jones,UGA,RB,17,129,7.6,57,1
Jaylen Anderson,WVU,RB,41,129,3.1,15,1
Carson Beck,UGA,QB,51,128,2.5,15,3
Mitch Griffis,WAKE,QB,106,128,1.2,27,2
Kobe Johnson,CSU,RB,44,128,2.9,13,1
Nicco Marchiol,WVU,QB,35,127,3.6,22,1
Joseph Himon II,NU,RB,32,127,4.0,32,0
Roderick Robinson II,UGA,RB,17,126,7.4,36,2
Eli Stowers,NMSU,QB,29,125,4.3,26,2
Keyon Mozee,M-OH,RB,29,125,4.3,23,2
Dylan Hopkins,UNM,QB,51,124,2.4,48,1
Cade Yacamelli,WIS,RB,29,124,4.3,13,0
Quinten Joyner,USC,RB,16,124,7.8,47,1
CJ Hester,WMU,RB,29,124,4.3,29,2
Bryce Williams,MINN,RB,36,123,3.4,8,1
Sam Hartman,ND,QB,45,123,2.7,38,3
Jaison Patterson,BGSU,RB,34,123,3.6,20,1
Dorian Lewis,UNM,RB,24,123,5.1,23,0
Cooper Legas,USU,QB,68,122,1.8,24,0
Cameron Ward,WSU,QB,120,122,1.0,22,8
John Emery Jr.,LSU,RB,23,121,5.3,17,1
Jayden de Laura,ARIZ,QB,21,121,5.8,53,3
Barion Brown,UK,WR,10,121,12.1,26,0
Dakereon Joyner,SC,RB,50,120,2.4,16,5
Ta'Quan Roberson,CONN,QB,46,120,2.6,24,2
Maddux Madsen,BOIS,QB,33,120,3.6,27,2
Ja'Vin Simpkins,CCU,RB,19,120,6.3,22,1
Tyson Riley,ARMY,RB,15,119,7.9,43,1
Anderson Castle,APP,RB,25,117,4.7,29,2
CJ Campbell Jr.,FSU,RB,7,117,16.7,70,1
Adrian Murdaugh,SHSU,WR,26,117,4.5,48,2
Domonique Thomas,CLEM,RB,18,116,6.4,19,1
Jake Retzlaff,BYU,QB,51,116,2.3,19,3
Willie Shaw III,TOL,RB,28,115,4.1,14,0
Jamaal Bell,NEV,WR,32,114,3.6,31,1
Vaughn Blue,LIB,RB,17,114,6.7,21,0
Sedrick Irvin,STAN,RB,26,113,4.3,45,1
Savion Red,TEX,RB,25,112,4.5,24,1
Dallan Hayden,OSU,RB,19,110,5.8,19,1
Trey Holly,LSU,RB,10,110,11.0,67,1
Jaivian Thomas,CAL,RB,18,110,6.1,27,1
A.J. Henning,NU,WR,26,109,4.2,17,1
Jayden McGowan,VAN,WR,18,109,6.1,18,0
Rocky Lombardi,NIU,QB,69,108,1.6,33,6
Jayden Limar,ORE,RB,21,108,5.1,21,1
Andrew Paul,UGA,RB,26,108,4.2,13,1
Parker Navarro,OHIO,QB,10,107,10.7,52,0
Noah Smith,SHSU,WR,27,106,3.9,25,2
D.Q. James,WYO,RB,35,106,3.0,15,0
Kyson Brown,ASU,RB,23,106,4.6,15,0
Damarius Good,TXST,RB,11,105,9.5,24,0
Carlos Del Rio-Wilson,SYR,QB,21,105,5.0,27,1
Leo Pulalasi,WSU,RB,18,105,5.8,16,0
Jacob Fields,LT,DB,26,105,4.0,30,2
Spencer Rattler,SC,QB,97,104,1.1,28,4
Jaylen Henderson,TA&M,QB,41,104,2.5,22,2
Timmy McClain,UCF,QB,41,103,2.5,22,1
Ike Daniels,SYR,RB,18,103,5.7,22,0
Martin Blake,SDSU,RB,28,103,3.7,12,1
Charlie Norman,ULM,RB,24,102,4.3,17,0
Ashton Hayes,NEV,RB,30,102,3.4,35,0
Walter Taylor,VAN,QB,30,102,3.4,18,1
Luke McCaffrey,RICE,WR,13,101,7.8,40,0
Gerald Green,ECU,RB,25,101,4.0,46,2
Shedro Louis,TULN,RB,34,101,3.0,16,0
DJ Riles,MTSU,QB,19,101,5.3,16,1
Zane Minors,SMU,RB,24,101,4.2,14,0
Austin Reed,WKU,QB,42,100,2.4,26,4
Latrele Palmer,JMU,RB,29,99,3.4,13,1
Calvin Hill,TXST,RB,31,98,3.2,13,0
David Bailey,TA&M,RB,20,97,4.8,19,1
Aaron Turner,CIN,WR,11,97,8.8,26,0
Jordan Houston,NCSU,RB,25,96,3.8,15,0
Jordan Younge-Humphrey,UNLV,RB,12,96,8.0,32,1
Rico Barfield,BALL,RB,25,96,3.8,24,1
Justin Lynch,NIU,RB,11,96,8.7,30,1
AJ Newberry,VAN,RB,20,96,4.8,29,0
Ethan Crawford,USM,QB,42,96,2.3,16,1
Jalil Farooq,OU,WR,17,95,5.6,22,0
Sean Jackson,AUB,RB,6,95,15.8,45,1
Athan Kaliakmanis,MINN,QB,74,94,1.3,23,2
Aaron Young,RUTG,RB,16,94,5.9,16,1
Jalen Berger,MSU,RB,25,93,3.7,12,1
Jacques Badolato-Birdsell,NEV,RB,37,93,2.5,15,1
Anthony Simpson,MASS,WR,11,93,8.5,17,1
Zach Hrbacek,SHSU,RB,37,93,2.5,10,0
Tylan Hines,HAW,RB,27,93,3.4,18,0
John Mateer,WSU,QB,21,93,4.4,15,3
Kamari Moulton,IOWA,RB,23,93,4.0,18,2
TJ Finley,TXST,QB,71,92,1.3,24,5
Jalin Conyers,ASU,TE,22,92,4.2,39,1
Justin Williams-Thomas,CAL,RB,20,92,4.6,23,0
Asa Martin,TROY,RB,22,91,4.1,16,0
Ari Broussard,RICE,RB,29,91,3.1,16,0
Dante Dowdell,ORE,RB,17,90,5.3,13,1
Ethan Garbers,UCLA,QB,32,89,2.8,18,0
Nasjzae Bryant-Lelei,HAW,RB,26,89,3.4,17,0
Tommy Ulatowski,KENT,QB,47,89,1.9,39,1
